,E,S,ES,P
625,0.9999518409746099,0.000352527612752626,4.8159025390413375e-05,9.999599313361854
626,0.9999527014016663,0.0003462289119119488,4.7298598333993605e-05,9.99960647248975
627,0.9999535464573265,0.00034004274741579693,4.645354267375893e-05,9.999613503709908
628,0.9999543764161516,0.00033396710876975444,4.562358384861326e-05,9.99962040930738
629,0.9999551915478002,0.0003280000213922648,4.4808452199973805e-05,9.999627191526406
630,0.9999559921171159,0.0003221395459733146,4.4007882884290965e-05,9.99963385257114
631,0.9999567783842132,0.000316383777844563,4.322161578712725e-05,9.999640394606367
632,0.9999575506045615,0.00031073084636071307,4.244939543876735e-05,9.9996468197582
633,0.9999583090290689,0.00030517891429192453,4.169097093133218e-05,9.999653130114776
634,0.9999590539041628,0.00029972617722707085,4.0946095837370284e-05,9.999659327726935
635,0.9999597854718704,0.0002943708629876476,4.02145281299001e-05,9.99966541460888
636,0.9999605039698964,0.000289111231052142,3.949603010387755e-05,9.999671392738842
637,0.9999612096317012,0.0002839455719906772,3.879036829906338e-05,9.999677264059708
638,0.999961902686576,0.00027887220690974807,3.809731342426555e-05,9.999683030479662
639,0.9999625833597173,0.00027388948690686854,3.7416640282932084e-05,9.999688693872807
640,0.9999632518723002,0.0002689957925349537,3.674812770007041e-05,9.999694256079762
641,0.9999639084415498,0.00026418953327626306,3.6091558450469615e-05,9.99969971890827
642,0.9999645532808121,0.00025946914702573465,3.5446719188202406e-05,9.999705084133783
643,0.999965186599623,0.0002548330995835421,3.481340037738401e-05,9.999710353500037
644,0.9999658086037762,0.0002502798841567107,3.419139622416567e-05,9.999715528719618
645,0.9999664194953903,0.00024580802086963027,3.35805046099408e-05,9.999720611474519
646,0.9999670194729745,0.00024141605628330679,3.298052702574207e-05,9.999725603416689
647,0.9999676087314925,0.00023710256292319633,3.239126850780848e-05,9.999730506168566
648,0.999968187462426,0.00023286613881546875,3.181253757430135e-05,9.999735321323607
649,0.9999687558538372,0.00022870540703155028,3.1244146163148954e-05,9.999740050446801
650,0.9999693140904293,0.00022461901524079768,3.068590957099959e-05,9.999744695075185
651,0.9999698623536071,0.00022060563527115864,3.013764639326343e-05,9.999749256718331
652,0.9999704008215351,0.00021666396267767637,2.9599178465223755e-05,9.999753736858853
653,0.9999709296691961,0.00021279271631869778,2.90703308041985e-05,9.999758136952874
654,0.9999714490684476,0.00020899063793964847,2.855093155273345e-05,9.999762458430505
655,0.9999719591880775,0.0002052564917642392,2.804081192280869e-05,9.99976670269631
656,0.9999724601938592,0.00020158906409297118,2.753980614104029e-05,9.999770871129762
657,0.9999729522486054,0.00019798716290881022,2.7047751394859477e-05,9.999774965085692
658,0.9999734355122206,0.00019444961748990163,2.6564487779651917e-05,9.999778985894725
659,0.9999739101417534,0.00019097527802920027,2.6089858246839957e-05,9.999782934863719
660,0.9999743762914474,0.00018756301526089245,2.562370855289111e-05,9.999786813276181
661,0.999974834112791,0.00018421172009348843,2.516588720923619e-05,9.999790622392691
662,0.9999752837545671,0.00018092030324946644,2.471624543308099e-05,9.999794363451311
663,0.9999757253629011,0.0001776876949113513,2.4274637099095507e-05,9.999798037667983
664,0.9999761590813082,0.0001745128443741131,2.384091869196512e-05,9.999801646236927
665,0.9999765850507404,0.00017139471970377263,2.3414949259788355e-05,9.99980519033103
666,0.9999770034096319,0.00016833230740210335,2.299659036830616e-05,9.999808671102222
667,0.9999774142939443,0.0001653246120773207,2.2585706055947874e-05,9.999812089681859
668,0.9999778178372105,0.000162370656120652,2.2182162789679322e-05,9.999815447181081
669,0.9999782141705785,0.00015946947938868226,2.1785829421638754e-05,9.999818744691181
670,0.9999786034228536,0.00015662013889137223,2.13965771465466e-05,9.999821983283953
671,0.9999789857205402,0.0001538217084856481,2.1014279459875233e-05,9.999825164012044
